,TSPAN6,TNMD,DPM1,SCYL3,C1orf112,FGR,CFH,FUCA2,GCLC,NFYA,STPG1,NIPAL3,LAS1L,ENPP4,SEMA3F,CFTR,ANKIB1,KRIT1,RAD52,BAD,LAP3,CD99,HS3ST1,WNT16,HECW1,MAD1L1,LASP1,SNX11,TMEM176A,M6PR,KLHL13,CYP26B1,ICA1,DBNDD1,ALS2,CASP10,CFLAR,TFPI,NDUFAF7,RBM5,MTMR7,SLC7A2,ARF5,SARM1,POLDIP2,PLXND1,AK2,CD38,FKBP4,KDM1A,RBM6,CAMKK1,RECQL,CCDC132,HSPB6,ARHGAP33,NDUFAB1,PDK4,SLC22A16,ZMYND10,ABCB5,ARX,SLC25A13,ST7,CDC27,SLC4A1,CALCR,HCCS,DVL2,PRSS22,UPF1,SKAP2,SLC25A5,CCDC109B,HOXA11,POLR2J,MEOX1,THSD7A,LIG3,RPAP3,ACSM3,CIAPIN1,SPPL2B,FAM214B,COPZ2,PRKAR2B,MSL3,CREBBP,BZRAP1,MPO,PON1,GCFC2,WDR54,CROT,ABCB4,RHBDD2,SOX8,IBTK,ZNF195,MYCBP2
CVCL_0001,2.123921238,0,4.200979002,2.495778898,2.526340115,0.733776761,3.80906125,3.108535849,3.341052093,4.041276359,1.695717051,3.231355331,3.510656554,2.57036311,0.93327334,0.061491309,2.822439591,3.305818919,3.088224826,2.959262571,4.223655586,3.924105825,0.016311607,0.053488428,0.004810356,2.98861278,4.057874251,3.092159552,0.039827475,5.23510365,0.332489335,0.035109527,2.887461244,0.351936752,3.452925197,2.257053085,2.818570501,1.908341027,3.180057298,4.563032804,0.108390714,0.036162605,4.596467077,0.306455029,5.114340486,4.125617946,5.554788723,0.023427092,5.119389993,5.20200421,4.023752607,1.844449808,4.343878667,2.741096534,0.66078928,2.65447053,4.156184058,0.450981524,0,1.590800942,0.158509217,0.060416802,3.125783164,2.488181184,4.036881791,0.104329118,0,3.412045536,3.452608643,0.06466034,4.017878517,3.1020889,6.301297955,2.588669454,2.301427796,5.18841027,0,0.103528545,4.018897106,3.969473188,3.52619375,4.189002518,2.922936123,2.367581409,2.254963216,3.645130362,2.307668821,3.26898997,0.942294835,0.062874528,0.034276075,2.678915245,3.266196666,1.479156773,0.880242555,3.105074743,0.199127432,3.612548366,2.789025296,3.756487391
CVCL_0002,0.168571576,0,4.548788416,1.46497155,2.035425271,3.330728867,0.23724416,3.453317816,3.271766807,1.512384061,0.87571822,2.053044051,3.54418365,1.162937062,0.237544693,0.014038264,1.893586175,2.951524238,2.088106666,2.641344745,3.910551438,3.290043849,0.005112145,0.092056531,0.003005839,2.811373358,4.001785208,3.354047225,0,3.847255598,0.088976013,0.01657134,1.594164785,0.068121892,2.693250537,1.729068615,2.340853023,0.222131683,2.986724825,4.584427144,0.02442983,0.168024119,4.615302405,0.034125457,4.13805369,3.491706249,5.211572497,0.812269298,4.585589908,3.973196255,4.195457251,1.461716968,2.576065707,1.975301455,0.103958368,1.881266879,5.302632765,0.040220193,2.467974554,0.126606967,0,0,2.522364829,1.846238234,2.94295242,0,0,3.022074678,1.854059154,0.036828614,3.993684142,2.726861931,6.236779213,0.528274297,0.035707782,5.341413482,0.052787444,0.011498755,3.118832362,3.138291114,0.693219511,4.154848643,2.882679886,1.710735843,0.02671417,0.144393302,2.360920668,2.132574915,2.775668039,9.364807385,0,2.410063182,1.101859886,0.745334347,0.010217148,2.417580958,0,2.725668297,3.580431707,2.705826541
CVCL_0004,0.13452491,0,4.923401338,2.577637861,2.930933181,0.091377608,4.545561383,4.583552098,2.7800838,3.357189286,2.044484504,2.732622102,3.757613203,0.069025957,1.0654309,0,3.097212302,3.589091671,1.946042086,2.836147973,4.03018614,3.525367876,0.002912137,0.392392158,0.123020389,2.847537211,4.89138858,3.143079438,0.263597767,4.246337452,1.210789046,0.009414761,3.709716011,2.510229024,2.50048718,2.882269938,2.651908659,3.760595393,3.052120054,4.052366825,0.114553097,0.137292056,5.566581196,0.15736104,4.799867132,2.874488945,5.237982547,0.247254655,4.220436338,5.192522406,3.742154502,1.90893191,4.21138434,2.534973678,0.610313399,2.659859876,4.942959948,0.426010224,0,0.618476102,0,0.024474599,4.342537393,3.218199688,3.861920653,0.432613476,0.220785199,3.947541201,4.000134554,0.10735832,4.146527323,2.85728627,7.033346037,2.786033044,0,5.793842904,0,0.008685952,3.926348603,4.067932988,5.215734732,4.266549545,3.751000773,1.776361595,0.506505846,5.175152083,2.928688947,2.889926019,1.089160446,0.013676441,0,2.420820206,2.905160336,2.207383128,0.551930232,4.320677748,0.060421081,3.654990238,3.403538339,2.287775201
CVCL_0005,0.16798052,0,5.013461489,2.187324184,2.242805111,0.918897927,0.119505311,4.074917657,2.854747088,3.576142917,1.368915574,1.67820036,4.294227716,0.959688784,1.354648716,0.017432243,3.085503332,3.614825521,2.682930771,2.352918262,4.839028186,4.33181054,0.015825597,0.064469125,0.006202763,3.257785621,4.991403375,3.355443589,0.07586833,4.781047199,0.850313823,0.237822989,0.005223418,2.837326306,3.072395104,1.808478926,3.25147151,0.195798632,3.291909211,4.264375212,0.097565351,3.154986669,5.532225351,0.058233256,5.281023437,4.249489644,5.176520688,3.403237027,5.12926572,4.917151357,4.487166581,1.532887998,4.772977545,2.529567868,0.084603711,1.525887163,4.934435725,0.029913572,2.924579456,0.814705182,0,0.01499764,3.854677212,2.186776784,3.59304364,0,0,3.514742894,3.163550169,0.062778439,4.2240531,3.161057842,7.135476423,0.679368794,2.498494404,6.147264879,0.031590869,0.011916355,3.886340023,4.072512256,0.364250391,4.611319332,2.878321545,1.19517162,0.143516464,0.380276635,2.741383641,2.881966131,2.846951054,9.59850793,0,2.623436047,3.374966143,1.793411351,0.014074251,3.583492495,0,3.579664702,2.724775443,3.887394415
CVCL_0006,1.02855081,0,4.477283601,2.50710703,2.756547884,2.351320955,0.060031549,4.539435811,2.606581108,4.386859988,1.586071612,2.573481089,4.177936267,2.042715768,1.991513297,0.025379305,2.96719642,3.442143437,1.824349403,2.719922975,4.382961511,4.757257859,0.020192839,0.077253526,0.2624333,2.930318821,4.467099741,3.371251119,1.560143955,4.733039752,0.982365536,0.055401114,2.506721414,0.781760882,2.214593503,1.833345049,2.887377599,0.320944039,2.498033304,4.852438916,0.187295172,1.650164978,4.460698638,0.431172036,4.814796286,4.224689543,5.493430031,3.583040518,3.968955493,4.671318824,4.28227628,1.767038905,3.755234356,2.395169988,0.117285922,3.014333744,4.688563089,1.341073708,3.905769448,0.555947274,0,0.784894078,3.080746227,2.30752492,3.817109395,0.016556089,0,3.630996926,3.059988585,0.02801116,4.094347019,3.83776162,6.240864524,0.996924987,3.858026061,5.823108055,0,3.667430259,3.622350669,4.397595885,0.874554794,4.375772124,3.841152538,2.126081483,2.891023487,2.971832753,2.68537638,3.259981663,2.740941183,2.443640068,0,2.656344149,3.358704531,1.693475689,1.611149112,2.971116035,0,3.664830149,3.186061602,3.61474351
CVCL_0007,0.043230815,0,4.825836719,2.529319318,2.828613649,3.129605778,0.064153498,4.46039242,3.50854548,4.408866333,0.912159872,2.326462981,4.547157602,0.06371629,1.057370793,0.017531688,3.04985842,3.611114733,2.342816673,2.558136941,4.310617577,5.15406438,0.002670223,0.006674419,0.050370428,4.05972338,4.601521412,2.577137923,0.11245375,5.034863896,0.462777178,0.01729062,2.802010557,1.068707391,2.111006404,1.872901758,1.835082565,0.071488423,3.551143924,4.733457486,0.105921888,0.035306075,4.984257388,0.700064192,5.011600529,4.384247584,6.173940365,2.013176046,4.899314835,5.034593144,4.55763814,2.27629755,4.096298495,2.386813662,1.375651565,3.231549825,5.10806381,0,2.410229255,1.293663887,0.00235213,0.396379793,3.222535828,1.758774364,3.40531284,0.022748599,0.005406531,3.722459388,3.395598258,0.050860137,4.125282918,3.826492766,7.325997773,2.751626756,4.263358538,5.517560435,0.016011989,0.043254307,3.33134004,3.536522055,2.393264281,4.29967275,3.818661905,1.531582113,0.027843014,2.333548987,3.188676047,2.720815325,0.342961547,0.494527282,0,1.849680338,3.644566285,0,0,3.226680171,0.007137286,3.338715898,2.754055204,4.060657455
CVCL_0008,0.09861918,0,4.19338843,2.860221142,3.004524644,4.692355708,0.039187605,0.26930028,3.613469506,3.806960323,0.969205077,2.554450041,3.678896691,2.945577106,0.463176756,0.074598069,3.248676791,3.199531356,2.738651721,2.195931065,5.09190179,3.112472817,0.058532115,0.56942953,0.002924638,2.466958727,4.370179344,2.827635802,0.138786534,4.614876257,0.023230286,0.032190416,0.121010018,0.135285306,1.639266182,0.374208796,2.185536536,0.122557506,3.394180536,4.802476278,0.085000758,0.048119074,5.147411968,1.041888845,5.048129371,1.501651794,4.802872355,5.602813446,4.291739324,4.321165232,5.645216595,1.674503674,4.100083095,2.52251851,0.314233272,3.168332049,4.483233182,0.061179624,0,0.982274314,0,0.028133843,2.736892333,1.862945655,4.110986308,0,0,3.388295088,3.887720155,0.147629004,3.859064157,3.514948437,7.208396732,5.251990536,0.008842031,5.375531278,0.00755352,0.651272448,2.97295472,4.131253715,0.63734595,3.532354156,3.832385415,1.053890982,0.076481621,5.603915516,3.040538579,3.622175487,2.170123641,0.466426646,0,2.470365739,3.789388637,2.013526171,3.197955173,2.655543043,0,3.515145873,2.666827337,3.909712767
CVCL_0009,0.120686093,0,4.053173821,3.481434474,2.463870723,1.098625028,1.510464329,4.77055218,3.398236929,3.631820431,2.020963186,3.29430841,3.600427706,3.407428655,0.180302625,0.393009102,3.821924371,2.957223941,2.659426786,3.748113264,4.587273402,5.261254435,0.626618453,0,0.064336253,2.088379548,4.26211747,4.341339477,0.062771688,6.159887192,0.12478237,0.055387766,0.168655791,0.07698598,1.617649674,1.386116813,4.507571412,0.71480615,3.31993678,4.297522419,0.045726652,0.038393599,5.025502911,3.165112964,5.277629928,1.258025289,4.730251158,0.008354074,5.212191272,4.924143353,4.1072928,0.031365495,4.857587458,2.81578855,0.60381779,3.31871898,4.560021806,0,0.012465881,0.898369387,0.020353922,0.681230166,2.457787053,1.417006716,4.735179205,0.288063888,0,3.46030383,3.845345111,0.028000113,3.491236276,3.189636802,6.075908938,4.584587741,1.349908527,5.467141679,0.254697389,0.427647394,2.623918197,3.902919587,1.448681774,3.372677427,3.087179886,2.302930384,0.855565282,1.336299893,2.522801271,4.066050461,4.480673162,0.264962832,0.01835526,3.018273289,4.558598835,2.449657847,0.078430615,3.886827048,0.030749783,4.259707233,2.512413298,3.634146008
CVCL_0012,0.181456468,0,5.126961595,3.614755375,1.912182099,0.007055013,0.188757214,0.321103739,3.512081594,3.732436156,0.941739474,2.978895249,3.641912169,4.083203866,0.069322198,0.109883021,3.809430465,3.665978966,2.039509789,3.337157651,4.915107601,0.431422833,0.47351041,0.257937213,0.768157401,2.589672518,3.298889312,3.265213947,0.125730562,4.29253648,1.164943901,0.024225638,2.3845156,2.005595115,3.304957026,3.867639534,4.540789211,0.158766013,3.114813317,4.581036225,0.152285595,0.089276655,5.634408712,0.625680171,5.13562216,0.19687551,4.231896577,4.204051371,4.0259419,4.277244053,4.028677346,0.22530762,3.661400043,3.428563176,0.284143651,1.441043416,4.660688788,0.047040435,0.012887904,0.818663632,0.005308772,0.05817024,2.863365113,2.849473687,3.313999986,0,0,3.617898399,4.123751963,0.043088328,3.358906509,3.228248645,6.56878783,2.758863354,0.021118656,5.973004523,0.044448627,0.013474425,3.7501053,3.28574656,1.47438058,4.593435879,3.384289934,1.957975088,3.853163836,2.306880374,2.603547018,3.764065239,0.887677174,0.606605606,0.055900412,2.992471182,3.101533633,3.392773773,0.035511083,3.976959024,0.031763402,3.123491018,3.022530873,2.838158205
CVCL_0014,0.1718658,0,4.572947237,2.351320957,2.607900669,0.045656236,1.13576358,3.687264673,3.525640082,3.325403534,1.004462709,3.016925418,4.121744849,1.895946528,0.401703896,0.072383011,3.302385349,3.490463036,2.015508859,3.212462172,4.470812533,5.189616449,0.019679525,0.187492589,0.051763192,2.359178135,4.472657687,3.003402764,0.676990941,4.649935162,0.051763192,0,3.088049013,0.191106315,1.183848253,3.023110599,2.627191791,0.141784353,2.939816146,3.957735453,0.095591492,0.380818105,5.428155145,1.237110494,5.173182923,3.803868864,5.056263839,3.856421496,5.018708874,4.531088796,3.862379962,1.780679821,4.04029662,2.774380873,0.077698892,1.526718457,5.138879251,0.374261251,0.065124528,0.385494016,0,0.149500041,3.379133161,2.285647362,3.295278517,0.016143454,0,3.746730743,3.099449294,0.199970547,3.814053137,2.335835243,6.47212084,2.734156056,0.058556585,6.111813281,0,0.014801079,3.554853004,3.666264361,0.245335859,4.333935674,3.281656793,1.027689134,1.831450172,0.121240436,3.138782534,3.016745006,1.605092113,0.045961454,0.666873329,2.226080502,4.298019645,0.379361498,0.018760094,3.854935901,2.358507594,2.701950769,2.090310054,3.12393902
