,TSPAN6,TNMD,DPM1,SCYL3,C1orf112,FGR,CFH,FUCA2,GCLC,NFYA,STPG1,NIPAL3,LAS1L,ENPP4,SEMA3F,CFTR,ANKIB1,KRIT1,RAD52,BAD,LAP3,CD99,HS3ST1,WNT16,HECW1,MAD1L1,LASP1,SNX11,TMEM176A,M6PR,KLHL13,CYP26B1,ICA1,DBNDD1,ALS2,CASP10,CFLAR,TFPI,NDUFAF7,RBM5,MTMR7,SLC7A2,ARF5,SARM1,POLDIP2,PLXND1,AK2,CD38,FKBP4,KDM1A,RBM6,CAMKK1,RECQL,CCDC132,HSPB6,ARHGAP33,NDUFAB1,PDK4,SLC22A16,ZMYND10,ABCB5,ARX,SLC25A13,ST7,CDC27,SLC4A1,CALCR,HCCS,DVL2,PRSS22,UPF1,SKAP2,SLC25A5,CCDC109B,HOXA11,POLR2J,MEOX1,THSD7A,LIG3,RPAP3,ACSM3,CIAPIN1,SPPL2B,FAM214B,COPZ2,PRKAR2B,MSL3,CREBBP,BZRAP1,MPO,PON1,GCFC2,WDR54,CROT,ABCB4,RHBDD2,SOX8,IBTK,ZNF195,MYCBP2
COSMIC_1240121,6.419525565,3.182093766,9.320547509,3.759654221,3.802619037,3.215753214,4.698729479,7.873672056,6.468238523,5.396099677,3.803100219,8.192795004,3.809681327,3.834124587,5.652961457,3.184928584,7.841737375,3.444561329,3.351266745,7.467339084,4.222357846,7.690106421,5.422724124,3.136489571,2.708479461,6.194284117,4.482935743,5.196243008,3.107982185,9.652658325,5.247724075,3.411633807,3.441275076,4.118312317,3.838845678,3.365718123,6.240687517,3.432664196,5.635185734,7.32761913,3.573656844,3.302461128,8.78704984,3.207243262,7.09569005,3.52747543,6.528410334,3.25351557,8.394884088,8.979944926,4.743289855,5.057727846,7.497578182,3.512320846,3.10745363,3.192264542,11.06204383,2.815339485,3.296033541,2.835937106,2.982835644,3.438289366,5.349132739,5.714745265,7.804169996,3.070402685,3.42808661,7.186076805,4.800615538,4.613859784,6.431554264,7.433952423,12.12513388,4.834552523,3.821667389,9.433504929,3.249784312,3.166685687,4.091799954,7.113903529,3.859157137,5.580641073,3.556901629,4.45806804,7.266337301,2.952481935,3.644860837,5.394537596,3.866012351,3.836654964,2.922804101,4.184040268,8.446184302,4.259062367,3.138325432,7.782061527,2.831358083,7.495198224,6.767957347,8.792747991
COSMIC_1240122,7.646494305,2.62681879,10.15385281,3.564755176,3.942749306,3.290760286,3.551675332,8.252412545,5.831479006,4.716446385,3.834392089,7.581974195,4.911508151,4.000081127,4.499962233,3.200736265,8.325062722,4.025458164,3.362420666,7.482458177,4.928433089,7.527612201,4.427129985,2.849629986,2.875732222,7.170578593,4.281502924,4.981083654,3.211959232,9.854756077,6.815177912,3.35726546,3.948971111,3.396186378,3.487667851,3.014126535,4.702325549,3.707594234,6.227929124,7.246027724,3.351088708,4.322140751,8.562020028,3.587106743,7.252445293,4.313883213,6.854554008,3.52481467,8.138009824,9.531681868,4.991065099,4.970378429,7.720975454,3.995192268,2.901661519,3.093515413,11.44607322,2.959706116,3.165076319,2.842432246,2.938092114,3.110383755,7.246700321,6.976422781,7.857718001,3.250934671,3.096769709,8.362612264,5.552219054,3.535647687,6.332692863,7.609784779,12.45011944,5.99601714,5.340475296,10.14720358,3.001771605,3.310683144,4.024243793,7.521260371,3.433833043,6.412781801,3.34642234,3.161763625,7.314002469,2.937852764,3.828471944,5.425881053,3.672407703,3.365728418,2.845932104,5.70688438,8.436799628,4.091264603,3.108604851,7.552146271,2.87237867,6.30873225,6.480485582,8.329986535
COSMIC_1240123,8.319417164,3.111183491,9.643558463,4.757258484,3.91975663,3.602184665,3.329644139,9.076949748,6.774674874,4.751459661,3.635061203,6.415579558,4.33133906,5.593084311,3.984157487,8.598889609,7.690867765,3.622322545,4.046860735,5.302701999,5.579124464,7.960227284,3.534126104,2.945296434,2.912375077,5.882472694,4.79214078,4.84995781,4.891745464,9.52039508,3.569566412,3.037894499,8.322066663,3.590749267,4.171284437,2.94041734,4.551798636,3.622246017,5.661814802,8.512692517,3.505507475,3.304337553,8.835597517,4.483224551,7.633513433,4.516928776,6.752991031,3.499657407,8.239100466,9.580097006,5.330686104,4.469092515,7.466599441,3.816081618,3.0327338,2.973776511,11.56447576,3.336196165,3.186711742,2.761457593,3.204785428,3.202456645,7.334859816,6.672976223,7.393582857,2.976537678,3.34322781,7.268040762,5.435455553,4.70493508,6.621718877,7.479982375,12.71105856,4.277228583,3.2353105,9.714261567,3.209421003,2.881801152,4.15317766,7.275002988,6.277481816,6.114779298,3.935986861,3.258366255,3.542190337,2.832413595,3.957865627,5.634713881,5.084160667,3.362758919,3.158315291,6.085993435,8.186634746,3.697751941,3.190449039,7.019450539,4.131366485,7.048143674,6.361072392,8.126209309
COSMIC_1240124,9.00699397,3.028172907,9.686700104,4.280504405,3.147645641,3.18888083,3.293806804,8.678790374,6.562482137,4.211975924,4.039044241,7.460579056,3.888159986,5.330085427,4.552741124,8.79921519,7.993248274,3.520556286,3.346021575,6.65289611,7.041190799,8.525002606,4.399650132,2.918423227,2.817313905,4.749035848,4.665895062,4.691578396,3.724692305,9.264941626,3.254531633,2.962709307,7.277225733,3.420811512,3.932367839,3.253287471,5.892459735,5.687548289,5.552370168,8.2728497,3.127219163,3.582704142,8.195873844,4.07274908,7.40988296,3.32118134,6.605070598,2.717003572,8.177730951,8.790585486,5.978088478,4.267564077,7.041302066,4.221025668,2.96540698,3.038647053,11.37229757,3.42191567,2.999259506,2.857686624,2.923720546,3.097987515,7.45825223,6.171898135,7.110650875,3.338148073,2.958330646,7.279193148,4.241717607,4.034228596,6.267546735,7.500123425,11.91864451,4.949471551,6.19666157,9.190179488,3.004614721,3.104483459,3.790428627,7.24006049,8.028313859,6.067133469,3.86795566,5.002983845,3.481179893,2.905565282,3.533453071,5.394625283,3.58029679,3.378300419,2.908486625,5.070064238,5.921010638,3.815355336,3.074262554,7.544360181,2.972187075,7.893100408,8.581165951,8.572694114
COSMIC_1240127,7.985675748,2.694728889,10.6761341,4.159685421,3.80463683,3.481942011,3.111261141,7.555406902,6.065852701,5.20941289,3.438487483,6.270855632,4.111636626,5.139845663,3.865335993,3.227348745,7.525844558,4.240287757,3.493243544,7.279643945,6.901923406,8.862674634,3.17197629,2.743707665,2.712103613,4.364207461,4.29278535,5.078015283,3.933484879,10.24412798,5.621842314,3.211038277,3.560623384,4.262029257,4.155824013,2.91254985,4.65508851,3.276534155,6.644587168,8.995545616,3.616596398,3.688306134,9.174728379,4.468742843,7.772593491,6.407126308,6.672526421,2.976032334,8.596902057,9.88168768,5.93855486,4.48882002,7.34566982,3.599776712,2.892305889,3.008760904,11.59025949,3.074134212,3.497413904,3.032511885,2.881758736,2.939257219,7.727453263,5.192221482,8.252086339,3.199439438,2.960731147,8.692327827,5.27359071,3.302485401,6.320965527,5.318853394,12.19704082,6.674655457,2.719602414,9.719618725,3.350283357,2.995016128,3.963717245,7.216042411,3.53214735,6.23093447,3.501850799,3.967822587,3.540805656,5.115347803,4.162288764,6.438840126,3.512338773,3.197305636,2.789962446,5.693770963,9.896520658,3.494798013,2.975687211,7.523312828,6.722223462,6.251988064,8.08825579,8.017415826
COSMIC_1240128,7.173434953,2.766799044,10.51693898,4.271812781,3.590868905,3.362011903,5.119785603,8.395382045,5.799492871,5.568768193,3.517982862,6.078802783,5.361781389,4.182238522,3.561816185,2.910270064,7.533990816,3.782000284,4.290062669,6.948417772,6.633365629,8.023924051,3.123460906,2.737775888,2.817890091,7.456633911,3.954293769,4.292096087,3.35709668,9.619617941,3.564957818,2.879638518,5.947654922,3.431765903,3.743578631,2.926187763,4.841791467,11.83871384,6.083656141,8.181911277,3.402483192,6.059972645,7.77956196,3.79830526,7.543423938,6.334073827,7.028143098,3.405013357,7.975651154,8.768206784,5.393361182,4.049765637,8.806259035,3.892602553,2.869819909,2.90792237,10.79637611,3.049093663,3.013639174,2.758243759,2.830137847,2.767481815,6.18765606,5.89211742,7.690579747,3.040096789,3.380278429,6.696193494,5.841531996,2.913989415,5.624135055,8.852869664,11.78735132,5.010135242,3.665255524,9.530383834,3.102881453,2.963314613,3.97576585,7.180283872,5.551992027,5.584154242,3.550067353,3.111248325,6.883652442,3.576700024,4.09564485,5.474418442,3.680726473,3.254918979,2.842624717,6.119797177,9.494553873,4.1426345,3.681680265,6.175321152,2.988817463,6.95624521,6.846331561,9.128991514
COSMIC_1240129,8.52525106,2.757209124,10.06664457,3.689376067,3.457447857,3.213026451,4.33857127,8.046477315,5.376962403,5.066615618,3.390199363,6.444947978,4.503402788,4.368956886,6.816012358,2.978634316,8.208657757,3.510208827,3.379268325,7.178595003,6.283908291,8.498865692,3.015512364,3.036786553,2.760623602,5.286300969,4.573939358,4.710918614,3.129639633,9.471730603,4.139188651,2.906482319,3.507545995,3.577694336,3.498916403,3.146972736,4.880435792,7.226038573,5.897428755,8.380777196,3.327744808,3.854108575,9.660420814,3.445344167,7.479877853,5.145297915,6.102263939,3.226006401,8.023134287,8.782000011,5.623825229,4.032533879,7.334163847,3.905506518,2.803350349,2.935632283,10.79720618,3.47490406,3.234953208,3.285357661,2.856440881,2.930908311,7.317600981,6.219607972,7.423522567,2.976147211,3.128609669,7.202743388,5.40685031,2.779731738,6.119505447,7.799062225,12.00452118,5.399793209,8.236543354,10.28421215,3.086594849,3.306914567,4.466068191,7.036422874,6.895999044,5.887214898,3.650448391,3.801532402,7.712361407,3.525801841,3.612293033,5.140702218,3.839044228,3.158362215,2.799436938,5.204161617,9.935037748,3.778909222,3.138942533,7.8690242,4.525113405,6.687984938,6.197879529,7.03723198
COSMIC_1240130,6.623308401,3.077644492,10.18376573,4.058798674,3.040080143,3.419084745,3.499877993,8.731266413,4.725022137,4.217136701,4.28295283,6.958237444,3.791019353,3.816509676,4.416624436,3.286949084,7.554927008,3.065266331,3.485315727,7.122347616,5.58337291,8.930797614,3.125216073,2.83712219,2.807588842,10.90830461,4.200450171,6.425787453,3.945462698,9.727278725,3.40506246,3.514963958,3.532461735,5.21274958,3.960464857,3.037412042,5.301442895,4.556598748,4.758257582,8.182120664,3.843639161,6.185234427,9.823692895,4.565473352,8.402452895,5.941275055,7.150741887,3.158101621,8.183958068,7.982005981,4.349819452,4.627744306,5.425256865,3.30280978,3.183623364,2.864713924,10.74830004,4.385466612,3.338785392,3.051430115,2.991625391,2.819269834,9.403737808,7.545564562,5.924655309,3.023909125,3.306019461,7.004958627,6.118986556,3.197678264,6.027250661,6.8093792,11.73032654,3.874023254,5.475591392,10.23871208,3.309059054,2.679290393,4.486165507,5.361441082,3.313239708,6.390061664,3.884330607,6.306761054,5.509507643,3.646226314,3.56330122,5.697386441,3.865447398,3.59780204,2.917766479,4.212582453,8.403478579,3.301572451,5.118807151,8.436108518,10.40984127,5.607774289,4.51845114,4.754045192
COSMIC_1240131,7.611267864,2.704739376,10.27607926,3.650298575,3.481566916,3.145537687,3.565126815,7.861067866,5.521610065,5.121132315,3.261275458,6.986857194,4.069181462,4.931053585,3.545955251,3.160584689,8.371008969,3.774905258,3.321525886,8.224005707,6.609614125,9.611159752,3.127886018,2.807943415,2.862915259,5.623280775,5.078365411,5.227690644,3.173029905,10.39568755,4.862555372,3.544220356,6.247341891,3.537429161,4.3543579,3.112084573,6.257147571,9.551217038,5.572117042,7.909828933,3.477939968,3.117733848,8.689410566,3.561120984,7.509530678,5.766932061,6.488911868,3.302770531,7.355109401,7.416129974,5.035647884,4.408733676,8.107818502,3.780091556,2.94080737,3.009825545,10.51257662,3.223556764,2.909333266,2.844554998,3.062832408,2.983301073,7.033412948,5.923314987,7.404303183,2.899263716,2.835720772,7.687418809,4.894491809,3.352929939,5.488357874,8.530378687,11.81615828,6.323537556,2.836677499,10.02353156,3.008425238,2.997433887,3.492094303,7.084079532,4.049016806,6.057359268,3.392809101,4.675581995,8.293874824,4.433798626,4.022823684,6.087264155,3.266269477,3.028391455,2.980314972,5.010727152,9.394565261,3.797433024,2.774428323,7.91287828,3.03578422,7.179951242,7.044988465,8.262416971
COSMIC_1240132,7.678658095,2.845780785,10.18095395,3.573047919,3.431235385,3.090780685,4.116642813,8.121190145,5.757865817,4.728257283,3.657510425,6.557727917,4.223005781,5.085120481,3.68335287,3.099464319,8.727868821,4.167237317,3.611524457,7.613799865,6.269529802,9.331944343,2.943307304,2.924659305,2.800833318,5.786938816,4.984301547,4.9397797,2.908186753,9.503993048,3.459346488,3.733311052,3.662347135,3.436418898,4.2692361,2.929058139,4.593298982,4.382865011,4.934408992,7.584832835,3.250691028,3.48223755,8.684925236,3.189641118,7.696766283,5.86238345,6.746609838,2.653794423,8.279507572,10.43632347,4.608591357,4.574387883,8.013778645,4.002577505,2.986482638,2.989266804,11.50334661,3.051831864,3.036295699,2.858351418,2.810731613,3.213673284,6.600911286,6.019436315,8.345537445,2.868287436,3.146379859,7.938708095,5.361486293,3.537581069,7.409901049,8.696594234,11.8543207,5.918752003,2.846948171,9.968513717,2.895077554,3.739345402,3.922820379,7.676466591,3.186501859,5.910876406,3.638760153,3.825344566,4.204921933,3.761798847,3.659638179,6.87902584,3.551169681,3.351913879,2.687706457,5.373082059,8.996297384,3.432960769,2.787775911,7.555338692,3.930882742,7.545146217,6.197071405,7.951645157
