,AZD7762,PLX4720,Olaparib,Linsitinib,Fluorouracil
COSMIC_1240121,1,1,1,1,2
COSMIC_1240122,1,1,1,1,1
COSMIC_1240123,2,1,1,2,2
COSMIC_1240124,1,1,1,1,1
COSMIC_1240127,1,1,0,1,0
COSMIC_1240128,1,2,1,0,1
COSMIC_1240129,0,0,0,1,0
COSMIC_1240130,1,2,1,1,2
COSMIC_1240131,0,0,0,0,0
COSMIC_1240132,0,0,0,0,0
COSMIC_1240134,1,1,1,2,1
COSMIC_1240135,1,1,1,1,1
COSMIC_1240136,1,1,1,0,2
COSMIC_1240137,1,1,1,1,1
COSMIC_1240138,1,0,1,1,0
COSMIC_1240140,1,1,0,1,2
COSMIC_1240141,0,0,0,0,1
COSMIC_1240142,2,2,1,2,2
COSMIC_1240143,0,0,1,1,1
COSMIC_1240144,1,1,1,1,2
COSMIC_1240145,1,1,1,1,2
COSMIC_1240146,1,2,1,1,1
COSMIC_1240147,1,2,1,1,2
COSMIC_1240149,1,2,1,1,2
COSMIC_1240151,1,1,1,0,0
COSMIC_1240153,1,2,1,1,1
COSMIC_1240154,1,2,2,1,2
COSMIC_1240155,0,1,1,1,1
COSMIC_1240157,1,1,0,0,0
COSMIC_1240158,1,1,1,1,0
COSMIC_1240159,1,1,0,1,0
COSMIC_1240160,0,1,0,1,0
COSMIC_1240162,1,0,0,1,1
COSMIC_1240166,2,2,2,1,2
COSMIC_1240167,2,1,1,1,2
COSMIC_1240168,1,2,1,1,1
COSMIC_1240169,1,0,1,1,0
COSMIC_1240170,1,1,1,1,1
COSMIC_1240172,0,0,1,1,1
COSMIC_1240173,2,2,1,1,1
COSMIC_1240174,1,1,2,1,1
COSMIC_1240179,0,1,1,1,0
COSMIC_1240181,2,1,1,2,1
COSMIC_1240183,0,1,1,0,0
COSMIC_1240184,1,1,1,0,0
COSMIC_1240185,1,0,1,1,2
COSMIC_1240186,0,0,1,0,2
COSMIC_1240187,2,1,1,1,2
COSMIC_1240189,2,1,2,2,1
COSMIC_1240190,1,0,0,1,1
COSMIC_1240192,0,1,0,1,0
COSMIC_1240193,1,2,2,2,1
COSMIC_1240196,1,1,1,1,1
COSMIC_1240197,0,1,0,1,0
COSMIC_1240198,1,1,0,1,0
COSMIC_1240199,0,0,0,0,0
COSMIC_1240200,1,0,0,1,1
COSMIC_1240201,1,0,1,1,1
COSMIC_1240202,1,1,0,0,0
COSMIC_1240208,0,1,1,0,1
COSMIC_1240209,1,0,1,2,0
COSMIC_1240210,1,1,1,2,0
COSMIC_1240212,1,1,1,1,1
COSMIC_1240215,1,1,0,0,1
COSMIC_1240216,1,0,0,1,0
COSMIC_1240217,1,1,1,1,1
COSMIC_1240218,0,0,0,0,0
COSMIC_1240219,0,0,1,0,0
COSMIC_1240221,1,1,2,2,1
COSMIC_1240222,1,2,1,0,2
COSMIC_1240223,0,0,0,0,0
COSMIC_1240226,1,2,0,1,0
COSMIC_1247871,1,1,2,1,2
COSMIC_1247873,1,1,1,1,0
COSMIC_1290455,1,1,1,2,2
COSMIC_1290722,1,1,1,1,1
COSMIC_1290724,2,1,1,1,1
COSMIC_1290730,1,0,1,0,0
COSMIC_1290765,1,2,1,1,1
COSMIC_1290769,1,0,0,1,0
COSMIC_1290771,0,1,1,2,1
COSMIC_1290795,1,1,1,0,1
COSMIC_1290797,1,1,1,1,2
COSMIC_1290798,0,0,1,0,0
COSMIC_1290806,0,1,1,1,2
COSMIC_1290807,1,1,2,2,0
COSMIC_1290808,0,0,1,1,0
COSMIC_1290809,0,1,1,2,0
COSMIC_1290810,1,1,0,1,1
COSMIC_1290812,0,0,0,0,0
COSMIC_1290813,2,2,2,2,2
COSMIC_1290814,0,1,1,1,1
COSMIC_1290905,0,0,0,0,0
COSMIC_1290906,1,1,1,1,0
COSMIC_1290908,1,0,1,1,2
COSMIC_1290922,1,2,1,2,1
COSMIC_1295740,2,1,2,2,1
COSMIC_1295741,2,2,1,2,2
COSMIC_1297439,1,1,1,1,1
COSMIC_1297446,2,1,1,1,1
COSMIC_1297447,1,1,1,2,1
COSMIC_1297449,2,1,2,1,2
COSMIC_1298134,1,1,2,1,1
COSMIC_1298136,1,1,0,1,0
COSMIC_1298141,1,2,0,0,0
COSMIC_1298146,1,1,0,2,0
COSMIC_1298151,1,1,1,1,0
COSMIC_1298157,1,1,1,1,0
COSMIC_1298168,1,1,1,0,0
COSMIC_1298169,1,1,1,1,1
COSMIC_1298216,0,0,0,1,1
COSMIC_1298218,1,1,1,1,0
COSMIC_1298219,0,1,0,1,1
COSMIC_1298222,1,1,1,1,0
COSMIC_1298223,2,1,0,1,0
COSMIC_1298226,1,1,1,1,1
COSMIC_1298347,0,1,1,1,0
COSMIC_1298348,1,0,1,0,0
COSMIC_1298349,0,1,2,2,0
COSMIC_1298350,1,1,1,1,0
COSMIC_1298352,1,0,1,0,0
COSMIC_1298357,0,0,0,0,0
COSMIC_1298358,1,1,0,2,2
COSMIC_1298359,2,1,1,1,1
COSMIC_1298365,1,2,0,1,1
COSMIC_1298475,1,1,0,1,1
COSMIC_1298476,0,0,0,1,0
COSMIC_1298526,0,1,1,1,0
COSMIC_1298529,1,0,0,1,1
COSMIC_1298531,1,2,1,1,2
COSMIC_1298533,1,1,1,1,1
COSMIC_1298534,1,0,1,0,0
COSMIC_1298537,1,0,0,1,0
COSMIC_1298538,1,1,0,1,1
COSMIC_1298539,0,0,0,1,0
COSMIC_1299050,1,1,1,2,1
COSMIC_1299052,1,0,1,0,1
COSMIC_1299059,1,1,1,1,1
COSMIC_1299062,0,0,0,1,0
COSMIC_1299064,1,2,1,1,1
COSMIC_1299070,1,1,2,1,1
COSMIC_1299075,0,0,1,2,0
COSMIC_1299078,1,2,2,1,2
COSMIC_1299080,1,2,1,1,1
COSMIC_1299081,2,2,1,1,2
COSMIC_1303896,2,2,2,1,2
COSMIC_1303897,1,0,2,0,2
COSMIC_1303900,0,1,1,0,1
COSMIC_1303912,0,2,1,1,1
COSMIC_1322212,1,1,2,2,1
COSMIC_1322218,2,1,1,1,2
COSMIC_1322224,2,2,1,2,2
COSMIC_1327766,1,2,2,2,1
COSMIC_1327769,2,1,2,1,2
COSMIC_1327771,2,2,2,2,2
COSMIC_1327773,2,1,2,1,2
COSMIC_1327774,2,1,2,1,2
COSMIC_1327775,1,1,1,2,1
COSMIC_1330931,2,1,2,1,2
COSMIC_1330933,2,2,2,2,2
COSMIC_1330935,2,1,1,1,1
COSMIC_1330941,0,1,0,1,0
COSMIC_1330942,1,1,1,1,0
COSMIC_1330947,2,2,2,2,2
COSMIC_1330950,1,1,1,2,2
COSMIC_1330964,1,0,2,0,0
COSMIC_1330972,1,0,2,2,0
COSMIC_1330973,0,0,0,1,0
COSMIC_1330983,2,1,2,2,2
COSMIC_1330985,2,2,2,1,1
COSMIC_1330987,2,2,2,1,2
COSMIC_1330993,2,1,2,1,1
COSMIC_1330995,1,1,1,1,2
COSMIC_1331032,2,1,1,1,2
COSMIC_1331033,1,2,2,1,2
COSMIC_1331036,2,2,2,1,2
COSMIC_1331037,2,2,2,2,2
COSMIC_1331038,2,1,2,1,1
COSMIC_1331039,1,1,2,1,2
COSMIC_1331040,2,2,2,1,2
COSMIC_1331045,1,1,1,1,2
COSMIC_1331048,2,1,2,2,2
COSMIC_1331049,2,2,2,1,2
COSMIC_1331050,2,1,2,1,1
COSMIC_1479987,1,2,1,1,1
COSMIC_1479988,1,0,1,0,1
COSMIC_1480362,0,1,0,0,0
COSMIC_1480364,1,0,0,0,0
COSMIC_1480371,1,1,1,1,2
COSMIC_1480372,0,0,0,1,0
COSMIC_1503361,1,2,1,1,1
COSMIC_1503362,1,1,0,2,2
COSMIC_1503363,1,1,1,2,1
COSMIC_1503364,2,1,1,0,1
COSMIC_1503365,1,0,0,0,0
COSMIC_1503366,1,1,1,1,1
COSMIC_1503367,2,1,1,1,2
COSMIC_1503368,1,1,1,1,1
COSMIC_1503370,1,1,2,1,1
COSMIC_1503371,1,1,1,1,0
COSMIC_1509073,1,1,1,0,0
COSMIC_1524416,1,1,0,0,1
COSMIC_1659818,1,1,2,2,1
COSMIC_1659823,1,0,0,1,1
COSMIC_1659928,1,1,1,2,2
COSMIC_1660034,0,0,1,2,2
COSMIC_1660035,1,0,0,0,0
COSMIC_1660036,0,2,1,1,2
COSMIC_1674021,2,2,1,1,2
COSMIC_683665,2,2,2,1,1
COSMIC_683667,1,1,1,2,1
COSMIC_684052,1,2,2,2,1
COSMIC_684057,1,2,2,2,1
COSMIC_684059,2,2,2,2,2
COSMIC_684062,1,2,2,2,1
COSMIC_684072,1,2,2,2,1
COSMIC_687448,0,2,2,0,0
COSMIC_687452,1,1,1,1,2
COSMIC_687455,0,1,2,1,1
COSMIC_687457,0,1,1,1,1
COSMIC_687459,1,1,1,1,0
COSMIC_687505,1,1,1,1,2
COSMIC_687506,1,1,2,1,1
COSMIC_687514,1,1,1,0,1
COSMIC_687561,2,1,2,1,2
COSMIC_687562,2,2,2,1,2
COSMIC_687563,1,1,2,1,2
COSMIC_687568,1,1,1,1,0
COSMIC_687586,1,2,1,1,1
COSMIC_687588,1,1,2,0,0
COSMIC_687590,0,1,1,0,1
COSMIC_687600,1,0,1,1,0
COSMIC_687777,0,0,0,1,0
COSMIC_687780,2,1,1,1,1
COSMIC_687787,1,1,1,1,1
COSMIC_687798,1,0,2,2,2
COSMIC_687799,1,2,1,1,2
COSMIC_687800,1,0,1,1,0
COSMIC_687802,1,0,0,1,0
COSMIC_687807,0,0,0,1,0
COSMIC_687812,1,1,0,1,0
COSMIC_687815,1,1,1,1,1
COSMIC_687816,1,1,1,2,1
COSMIC_687819,0,1,1,1,0
COSMIC_687820,0,0,0,0,0
COSMIC_687821,0,1,1,0,0
COSMIC_687829,1,0,0,1,0
COSMIC_687980,1,1,2,2,1
COSMIC_687983,0,1,1,1,0
COSMIC_687985,1,1,2,1,1
COSMIC_687995,1,1,2,1,2
COSMIC_687997,0,0,0,1,0
COSMIC_688001,2,2,2,2,0
COSMIC_688006,1,1,2,1,1
COSMIC_688010,1,1,1,1,0
COSMIC_688011,1,1,1,1,0
COSMIC_688013,2,2,2,1,1
COSMIC_688014,0,1,2,1,0
COSMIC_688018,1,0,2,1,0
COSMIC_688021,1,1,2,1,0
COSMIC_688023,1,1,2,1,0
COSMIC_688025,1,2,1,1,2
COSMIC_688026,2,1,1,1,0
COSMIC_688027,1,1,2,1,0
COSMIC_688031,1,2,1,2,2
COSMIC_688058,0,0,1,1,1
COSMIC_688086,1,1,2,2,1
COSMIC_688087,1,1,1,2,0
COSMIC_688121,1,1,1,1,1
COSMIC_713869,1,1,1,0,0
COSMIC_713878,1,1,2,1,1
COSMIC_713880,1,1,1,1,1
COSMIC_713899,1,1,1,1,1
COSMIC_717431,1,1,2,2,1
